Blood type 1,Blood type 2,Resulting blood type
AB,AB,A
AB,B,A
B,AB,A
AB,A,A
A,AB,A
AB,O,A
O,AB,A
A,B,A
B,A,A
A,A,A
O,A,A
A,O,A
AB,AB,B
AB,B,B
B,AB,B
AB,A,B
A,AB,B
AB,O,B
O,AB,B
B,B,B
A,B,B
O,B,B
B,O,B
AB,AB,AB
AB,B,AB
B,AB,AB
AB,A,AB
A,AB,AB
A,B,AB
B,A,AB
B,B,O
A,B,O
B,A,O
A,A,O
O,B,O
B,O,O
O,A,O
A,O,O
O,O,O
AB,AB,A
AB,B,A
B,AB,A
AB,A,A
A,AB,A
AB,O,A
O,AB,A
A,B,A
B,A,A
A,A,A
O,A,A
A,O,A
AB,AB,B
AB,B,B
B,AB,B
AB,A,B
A,AB,B
AB,O,B
O,AB,B
B,B,B
A,B,B
O,B,B
B,O,B
AB,AB,AB
AB,B,AB
B,AB,AB
AB,A,AB
A,AB,AB
A,B,AB
B,A,AB
B,B,O
A,B,O
B,A,O
A,A,O
O,B,O
B,O,O
O,A,O
A,O,O
O,O,O
